Date of Rally,City,State,Venue,Estimated Visitors,Source
"Thursday, October 27, 2016",Springfield,OH,Clark County Fairgrounds,"5,000",[345][346]
"Thursday, October 27, 2016",Toledo,OH,SeaGate Convention Centre,"2,900",[347]
"Thursday, October 27, 2016",Geneva,OH,"Track and Field Building, SPIRE Institute","5,000",[348]
"Friday, October 28, 2016",Manchester,NH,Radisson Hotel Manchester Downtown,,[349]
"Friday, October 28, 2016",Lisbon,ME,Open Door Christian Academy,"1,200",[350]
"Friday, October 28, 2016",Cedar Rapids,IA,McGrath Amphitheatre,"5,000",[351]
"Saturday, October 29, 2016",Golden,CO,Jefferson County Events Center,,[352][353]
"Saturday, October 29, 2016",Phoenix,AZ,Phoenix Convention Center,"8,000",[354]
"Sunday, October 30, 2016",Las Vegas,NV,The Venetian Las Vegas,"8,400",[355]
"Sunday, October 30, 2016",Greeley,CO,"Bank of Colorado Arena, University of Northern Colorado","3,000",[356]
"Sunday, October 30, 2016",Albuquerque,NM,"Atlantic Aviation ABQ, Albuquerque International Sunport","4,000",[357]
"Monday, October 31, 2016",Grand Rapids,MI,DeltaPlex Arena,"6,500",[358][359]
"Monday, October 31, 2016",Warren,MI,"Sports & Expo Center, Macomb Community College South Campus","5,000",[132][133][360]
"Tuesday, November 1, 2016",Eau Claire,WI,W.L. Zorn Arena,"3,000",[361]
"Wednesday, November 2, 2016",Orlando,FL,"CFE Arena, Central Florida Fairgrounds","10,000",[362] [363]
"Wednesday, November 2, 2016",Pensacola,FL,Maritime Park's Hunter Amphitheater,"6–10,000",[364][365][362]
"Wednesday, November 2, 2016",Miami,FL,Bayfront Park,"2,600",[366]
"Thursday, November 3, 2016",Jacksonville,FL,Jacksonville Equestrian Center,"4,000",[367]
"Thursday, November 3, 2016",Concord,NC,Cabarrus Arena & Events Center,"4,200",[368]
"Thursday, November 3, 2016",Selma,NC,The Farm,"15,000",[369]
"Friday, November 4, 2016",Atkinson,NH,Atkinson Country Club,"1,000",[370]
"Friday, November 4, 2016",Wilmington,OH,"Airborne Maintenance & Engineering Services, Inc","3,000",[371]
"Friday, November 4, 2016",Hershey,PA,Giant Center,"13,000",[372][373]
